Name	Ident_A	Ident_B	Ident_C	Ident_D	ID	RI_Agilent	RI_Restek	RI_Thermo	Author
Galactosamine_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	100	1927	1988	1902	contrib by M. Pietzke 
Glucosamine_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	101	1927	1988	1933	contrib by M. Pietzke 
Galactitol_(6TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	102	1930	1995	1945	MauiSILVIAPHJLK
Galactosamine, N-acetyl-_(1MEOX)(4TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	103	1933	2135	2073	contrib by M. Pietzke 
Galactosamine_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	104	1933	1995	1928	contrib by M. Pietzke 
Glucosamine_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	105	1933	1994	1937	contrib by M. Pietzke 
Galacturonic acid_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	106	1934	1999	1960	MauiSILVIAPHJLK
Glucuronic acid_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	107	1943	1990	1954	MauiSILVIAPHJLK
Galacturonic acid_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	108	1957	1958	1968	MauiSILVIAPHJLK
Pantothenic acid_(3TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	109	1995	2032	1999	MauiSILVIAPHJLK
Gluconic acid_(6TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	110	1996	2060	2009	MauiSILVIAPHJLK
Glucosamine, N-acetyl-_(1MEOX)(4TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	111	2075	2127	2082	contrib by M. Pietzke 
Glucosamine, N-acetyl-_(1MEOX)(4TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	112	2080	2132	2088	contrib by M. Pietzke 
Inositol_ myo-_(6TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	113	2088	2140	2100	MauiSILVIAPHJLK
Uric acid_(4TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	114	2098	2142	NA	contrib by M. Pietzke 
Ribulose-5-phosphate_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	115	2101	2156	2110	MauiSILVIAPHJLK
Galactosamine, N-acetyl-_(1MEOX)(4TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	116	2101	2151	2108	contrib by M. Pietzke 
Ribose-5-phosphate_(1MEOX)(5TMS)_BP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	117	2105	NA	NA	MauiSILVIAPHJLK
Ribose-5-phosphate_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	118	2109	2161	2115	MauiSILVIAPHJLK
Ribulose-5-phosphate_(1MEOX)(5TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	119	2115	2171	2125	MauiSILVIAPHJLK
Cystathionine_(2TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	120	2120	2138	2117	contrib by M. Pietzke 
Cystathionine_(3TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	121	2164	2190	2150	contrib by M. Pietzke 
Spermidine_(4TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	122	2191	2220	2193	contrib by M. Pietzke 
Cystathionine_(4TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	123	2197	2247	2201	contrib by M. Pietzke 
